date,nome,tipo
2024-01-01,Confraternização Universal,nacional
2024-02-12,Carnaval (segunda),nacional
2024-02-13,Carnaval (terça),nacional
2024-03-29,Sexta-feira Santa,nacional
2024-04-21,Tiradentes,nacional
2024-05-01,Dia do Trabalho,nacional
2024-05-30,Corpus Christi,nacional
2024-09-07,Independência do Brasil,nacional
2024-10-12,Nossa Senhora Aparecida,nacional
2024-11-02,Finados,nacional
2024-11-15,Proclamação da República,nacional
2024-11-20,Consciência Negra,nacional
2024-12-25,Natal,nacional
2025-01-01,Confraternização Universal,nacional
2025-03-03,Carnaval (segunda),nacional
2025-03-04,Carnaval (terça),nacional
2025-04-18,Sexta-feira Santa,nacional
2025-04-21,Tiradentes,nacional
2025-05-01,Dia do Trabalho,nacional
2025-06-19,Corpus Christi,nacional
2025-09-07,Independência do Brasil,nacional
2025-10-12,Nossa Senhora Aparecida,nacional
2025-11-02,Finados,nacional
2025-11-15,Proclamação da República,nacional
2025-11-20,Consciência Negra,nacional
2025-12-25,Natal,nacional
2026-01-01,Confraternização Universal,nacional
2026-02-16,Carnaval (segunda),nacional
2026-02-17,Carnaval (terça),nacional
2026-04-03,Sexta-feira Santa,nacional
2026-04-21,Tiradentes,nacional
2026-05-01,Dia do Trabalho,nacional
2026-06-04,Corpus Christi,nacional
2026-09-07,Independência do Brasil,nacional
2026-10-12,Nossa Senhora Aparecida,nacional
2026-11-02,Finados,nacional
2026-11-15,Proclamação da República,nacional
2026-11-20,Consciência Negra,nacional
2026-12-25,Natal,nacional
