horizonte,wflow_id,rmse_mean,rmse_se,modelo
30d,rec_rf,0.04911144338721681,0.00446646037354587,rf
30d,rec_null,0.05187750274745876,0.00383969880767164,null
30d,rec_xgb,0.05425072505132344,0.00503130831523555,xgb
30d,rec_enet,0.05676481986314176,0.00466941988316646,enet
30d,arima,0.061426638200299644,NA,arima
30d,rec_ridge,0.0670206040311604,0.00592157899943069,ridge
5d,arima,0.01565648742281396,NA,arima
5d,rec_null,0.02091472412376035,0.00107057647249166,null
5d,rec_enet,0.02091615092455012,0.00107146632440381,enet
5d,rec_rf,0.02239628273036115,0.00125026806641934,rf
5d,rec_ridge,0.02346482970262363,0.00124589612662377,ridge
5d,rec_xgb,0.02529108877735328,0.00137493844515067,xgb
90d,rec_rf,0.0690491673230979,0.00611098354275865,rf
90d,rec_xgb,0.0763664220479859,0.00785243874014513,xgb
90d,rec_enet,0.07972711867608025,0.00703097578650442,enet
90d,rec_ridge,0.08155602986662934,0.007315315921844,ridge
90d,rec_null,0.08634004581681007,0.00822539734542929,null
90d,arima,0.10042718757027304,NA,arima
