feature,target,cor,n
petroleo_brent,target_5d,0.013083394258438344,3916
petroleo_wti,target_5d,-0.0020906042359745977,3947
dxy,target_5d,-0.02269584355542656,3948
ewz,target_5d,0.04282436810516463,3947
ouro,target_5d,-0.037729607625597926,3946
cobre,target_5d,-0.03338704044298793,3947
usd_brl,target_5d,-0.053391048163670775,3577
ibovespa,target_5d,-0.022792070370339604,3998
sp500,target_5d,-0.03293876467622437,3947
nasdaq,target_5d,-0.034096243641113036,3947
vix,target_5d,0.00795722429383702,3947
core_cpi_us,target_5d,0.04198697662374336,114
cpi_us,target_5d,0.05673424588602114,114
desemprego_us,target_5d,-0.10480798673770401,114
dxy_fred,target_5d,-0.03502722878351707,3893
fed_funds,target_5d,0.06042765350210699,115
pce_us,target_5d,0.05916945804889056,115
sofr,target_5d,-0.020704255267922144,1916
treasury_10y,target_5d,-0.03724507194166093,3921
treasury_2y,target_5d,-0.026323120389972716,3921
vix_fred,target_5d,0.008061987051560325,3973
cdi_diario,target_5d,-0.03431936483800215,3519
fluxo_cambial,target_5d,0.15638133166061827,100
reservas_intl,target_5d,0.06443988589234495,3519
selic_diaria,target_5d,-0.03396526146570765,3519
selic_meta,target_5d,-0.034772949942612534,3519
ipca_acum12m,target_5d,-0.03970149710655982,4032
ipca_mensal,target_5d,0.012115540342458441,4032
focus_cambio,target_5d,-0.0522630185592588,4052
focus_ipca,target_5d,0.0031999131732103458,4052
focus_pib_total,target_5d,-0.009866192990108264,4052
focus_selic,target_5d,-0.052682497991618546,4052
ipca_variacao_mensal,target_5d,0.024249403590173847,4032
ipca_variacao_acumulada_no_ano,target_5d,0.014286499394028462,4032
ipca_variacao_acumulada_em_3_meses,target_5d,-0.019076379835941338,4032
ipca_variacao_acumulada_em_6_meses,target_5d,-0.03419115737242937,4032
ipca_variacao_acumulada_em_12_meses,target_5d,-0.019153882612162346,4032
balanca_comercial_bcb,target_5d,-0.042302477013892434,3528
dbgg_pib,target_5d,-0.04932744020813535,3528
desemprego_br,target_5d,-0.01999065954897138,3509
ibc_br,target_5d,-0.054810952176426425,3528
resultado_nominal,target_5d,-0.005205082662875458,3528
resultado_primario,target_5d,0.01726447467187866,3528
desemprego_pnad_trimestral,target_5d,-0.01999065954897138,3509
pim_geral,target_5d,0.04100506958788872,4032
breakeven_10y,target_5d,-0.022005586665411008,3921
breakeven_5y,target_5d,-0.0447019444048405,3921
us_hy_spread,target_5d,-0.09886675585707937,663
consumer_sentiment_us,target_5d,0.05529294672261828,4032
minerio_ferro,target_5d,-0.03011975155048126,4032
soja,target_5d,-0.0274492386024464,4032
petroleo_brent,target_30d,0.04895884921483722,3916
petroleo_wti,target_30d,0.025833204257920437,3947
dxy,target_30d,-0.055414009817663486,3948
ewz,target_30d,0.12721079753426562,3947
ouro,target_30d,-0.08581725764542207,3946
cobre,target_30d,-0.08678658553795592,3947
usd_brl,target_30d,-0.11707033311049884,3577
ibovespa,target_30d,-0.03130929095104538,3998
sp500,target_30d,-0.07293551974363349,3947
nasdaq,target_30d,-0.0792315541622025,3947
vix,target_30d,-0.017579317184696165,3947
core_cpi_us,target_30d,0.019553300914865707,114
cpi_us,target_30d,0.03472813545735335,114
desemprego_us,target_30d,0.025985562442244602,114
dxy_fred,target_30d,-0.0903123453776817,3893
fed_funds,target_30d,2.0292641805247895e-4,115
pce_us,target_30d,0.024903328642585324,115
sofr,target_30d,-0.026853329735870353,1916
treasury_10y,target_30d,-0.08857165750246347,3921
treasury_2y,target_30d,-0.057615659250068604,3921
vix_fred,target_30d,-0.01734033753637905,3973
cdi_diario,target_30d,-0.0875479307141443,3519
fluxo_cambial,target_30d,0.08877341789108346,100
reservas_intl,target_30d,0.16708457291867718,3519
selic_diaria,target_30d,-0.08662680691871359,3519
selic_meta,target_30d,-0.08841084834747841,3519
ipca_acum12m,target_30d,-0.1000397733360619,4032
ipca_mensal,target_30d,0.047183313416319844,4032
focus_cambio,target_30d,-0.11890948433335347,4052
focus_ipca,target_30d,-0.04411795286578015,4052
focus_pib_total,target_30d,-0.005049075418298435,4052
focus_selic,target_30d,-0.13867791843444963,4052
ipca_variacao_mensal,target_30d,0.0657958781446212,4032
ipca_variacao_acumulada_no_ano,target_30d,-0.021258746598728135,4032
