feature,cor_t30,n
spread_cdi_sofr,-0.19437982482218902,1402
vol_vix_21d,0.15135858951452327,1961
ret_oil_21d,-0.14563765541281598,3769
max_63d,-0.13066638065613354,3990
ma_usd_63d,-0.12988967645374785,3990
vol_usd_63d,-0.1276308497702306,3989
min_63d,-0.126636781099506,3990
ma_usd_21d,-0.12363876757423357,4032
ma_usd_5d,-0.12208435101617555,4048
ret_ibov_21d,-0.10701010507418478,3924
ret_vix_21d,0.09134442785788077,3824
spread_selic_fed,-0.08809101047385624,3499
vol_usd_21d,-0.08719742945197985,4031
fluxo_acum_21d,0.08169955919086842,4012
erro_focus,0.07959897400418774,4052
vol_usd_5d,-0.07558220835287979,4047
mes_fomc,-0.0708156340108577,4052
ret_ewz_21d,-0.07051067945431112,3824
ret_ouro_21d,-0.06935561932518736,3822
ret_ferro_21d,-0.06718500133386268,4011
spread_ipca_cpi,0.0670616314416955,4032
ret_oil_5d,-0.0656257303160923,3778
ret_ibov_5d,-0.0641891702848269,3941
ret_sp500_21d,-0.05997736880328706,3824
ret_dxy_21d,0.05882844275936879,3826
ret_ewz_5d,-0.04722144320658017,3840
fluxo_acum_63d,0.044693915441231954,3970
range_63d,0.03926389077015769,3990
ret_ferro_5d,-0.034082008493459735,4027
ret_vix_1d,0.03150138872751694,3842
mes_copom,-0.026448283171782914,4052
ret_usd_63d,-0.02435512676670787,3989
vol_ratio,-0.020181744629577086,4031
ret_dxy_1d,0.019080408187109148,3844
ret_ouro_5d,-0.01865855231712516,3838
ret_dxy_5d,0.01681596331647901,3842
trimestre,0.01597543360031587,4052
ret_vix_5d,0.014921383324781393,3840
mes,-0.011283546035998217,4052
ret_usd_10d,0.011121178164681047,4042
dist_ma_63d,-0.01086993150397294,3990
drawdown_63d,0.009765804871739798,3990
dist_ma_21d,0.009015517666034516,4032
semana_do_ano,-0.007275749119871468,4052
ret_usd_21d,0.006130854458456036,4031
ret_usd_1d,0.004866518473166848,4051
ret_usd_5d,-0.0037695070853328823,4047
ret_sp500_5d,-0.0031600801898757796,3840
dist_ma_5d,-0.0029311877108339508,4048
fim_de_mes,7.034221786032023e-4,4052
spread_10y_2y_us,-2.488997547999464e-4,3921
dia_semana,-3.923832034493091e-5,4052
